step,mo,inflow,precip,evap,released,supplied,storage,% full,d_stage,% redu,deficit
112,5,9115.98673097358,6285.444806876563,-28.532685977377696,614.9325006887685,7928.942194771925,223236.6910199969,1.697377465953649,0,1.0,0.0
113,6,4807.093999551912,2121.3795022834092,2763.0469317609386,595.0959684084856,6179.917658769359,220627.10396289345,1.677535502493552,0,1.0,0.0
114,7,5207.402444257485,2298.0947063563217,6127.336158643564,614.9325006887685,9874.120859409788,211516.21159476513,1.6082609431470116,0,1.0,0.0
115,8,5154.74517362471,4146.9522834193485,10230.551506089832,614.9325006887685,12344.408027585898,197628.0170174447,1.502662224537571,0,1.0,0.0
116,9,6757.919042874036,5096.328313895676,2570.5322871979442,357.05758104509135,6302.262496540374,200252.41200943102,1.7434647805152812,0,1.0,0.0
117,10,11386.23251080568,4118.131970074988,4428.927575969108,368.9595004132611,6043.685153578231,204915.20426035108,1.7840606164743298,0,1.0,0.0
118,11,4650.097703054443,6889.462940362457,-1.2636243269080296,357.05758104509135,7438.565468246691,208660.4054788031,1.8166675966090136,0,1.0,0.0
119,12,3055.532152724858,5126.638624666055,4113.947310061747,368.9595004132611,6033.569458709693,206326.0999870093,1.7963443487086876,0,1.0,0.0
120,1,1060.7422438915737,1331.2890407813247,5083.251342869597,368.9595004132611,8985.791093698332,194280.12933470102,1.6914680809590084,0,1.0,0.0
121,2,2219.444276688107,883.058100271679,1437.8919272054336,333.25374230875195,5735.944684729249,189875.54135741736,1.6531202581586844,0,1.0,0.0
122,3,4850.455635563068,2551.589941387414,2130.137385772832,368.9595004132611,5975.26349908682,188803.22654909492,1.6437843251570528,0,1.0,0.0
123,4,4562.7243259188035,2799.436174212169,10261.742910893197,595.0959684084856,14853.247346061991,170455.30082386223,1.296054807338356,0,1.0,0.0
124,5,13616.347705525199,6476.230901162664,2732.692403111054,614.9325006887685,7400.638489804189,179799.61603694607,1.3671041944484508,0,1.0,0.0
125,6,4980.158983532307,4865.453194221453,2481.269703292608,595.0959684084856,6523.085654513545,180045.7768884852,1.368975875490189,0,1.0,0.0
126,7,9031.103042735253,7760.419018601766,845.4596201044915,614.9325006887685,8476.987333340288,186899.9194956887,1.4210912654681647,0,1.0,0.0
127,8,528.412958015964,2742.259309111774,258.6207672546443,614.9325006887685,6788.941465347331,182508.09702952567,1.3876980967445414,0,1.0,0.0
128,9,9207.637960867642,4867.979189438513,-11.096957463567378,357.05758104509135,7246.694282832912,188991.0592734174,1.645419659963752,0,1.0,0.0
129,10,4831.952772110449,7503.633356293372,2492.096596219897,368.9595004132611,7355.592799540352,191109.9965056477,1.6638678394360775,0,1.0,0.0
130,11,126.77908601045286,2795.460276268248,1511.1220001284673,357.05758104509135,6111.0612087120335,186052.9950780408,1.6198398859369063,0,1.0,0.0
131,12,4692.066248541623,3915.090755211335,23.05055458197603,368.9595004132611,6993.53819588493,187274.60383091358,1.630475622180136,0,1.0,0.0
132,1,6643.426294215368,4151.392564081063,-26.791316906310385,368.9595004132611,7094.812055847743,190632.4424498553,1.6597100933759348,0,1.0,0.0
133,2,4341.907541878828,4960.299823401845,4771.78061276683,333.25374230875195,5435.952152870551,189393.66330718985,1.6489248659501978,0,1.0,0.0
134,3,504.6050894894956,1927.5207512266934,1078.6438042102673,368.9595004132611,6277.045847087314,184101.13999619518,1.6028463798027213,0,1.0,0.0
135,4,3986.137533582659,2561.143111475656,121.40130074732588,595.0959684084856,6781.360345254559,183150.56302684313,1.3925830791437404,0,1.0,0.0
136,5,4154.679624973149,3982.9716673344665,2953.6400920450687,614.9325006887685,6409.116873784581,181310.52485263234,1.3785923712581798,0,1.0,0.0
137,6,10522.578710563665,2550.668138929759,3990.053828359727,595.0959684084856,7559.454332833285,182239.16757252425,1.3856532948880023,0,1.0,0.0
138,7,9119.72686001032,3885.0818912972754,3454.470728029788,614.9325006887685,6168.960555238943,185005.61253987436,1.406687925561507,0,1.0,0.0
139,8,12171.758174308823,1432.1214397171861,4804.700906043814,614.9325006887685,10275.442457512063,182914.41628965575,1.3907875402987195,0,1.0,0.0
140,9,6855.013352097188,3311.9935607912776,4842.92572484276,357.05758104509135,7513.495747852692,180367.94414880368,1.5703439224621003,0,1.0,0.0
141,10,16496.399687742694,2463.2114545837685,884.5897609480307,368.9595004132611,6506.503834273581,191567.50219549527,1.6678510376863789,0,1.0,0.0
142,11,3466.8686319379754,7824.898603378097,2565.63152361472,357.05758104509135,7373.2080142286495,192563.3723119229,1.676521417516198,0,1.0,0.0
143,12,5217.134155656628,5233.904392761266,5535.9269932546595,368.9595004132611,6320.655710197164,190788.86865647568,1.661071992487439,0,1.0,0.0
144,1,2004.2662642156079,4965.538452906592,2924.022434893326,368.9595004132611,6598.373468495436,187867.31796979584,1.6356359906155782,0,1.0,0.0
145,2,78.75882104675442,5345.292527023848,1064.3257567006804,333.25374230875195,6693.210467861526,185200.57935099548,1.6124184682193965,0,1.0,0.0
146,3,8422.613700389611,5180.639977148065,3063.163189563318,368.9595004132611,6851.78025171935,188519.9300868372,1.6413178509736226,0,1.0,0.0
147,4,6435.28538860038,3150.202044440288,1140.292879692046,595.0959684084856,6722.177491537958,189647.85118023938,1.4419851306209972,0,1.0,0.0
148,5,457.1385801137504,1891.4182815680979,28.64047089428641,614.9325006887685,6869.119994129991,184483.71507620817,1.4027196845419965,0,1.0,0.0
149,6,845.96422315177,6074.62483104883,9864.763025167485,595.0959684084856,10620.601036824362,170323.84410000843,1.2950552777368465,0,1.0,0.0
150,7,10330.246442971667,4086.1376809846843,1075.7291834722855,614.9325006887685,7351.211344065633,175698.35519573808,1.335920307507388,0,1.0,0.0
151,8,1596.3881678979706,2252.378609036561,5351.897222023603,614.9325006887685,10185.210533511048,163395.0817164492,1.2423725171966122,0,1.0,0.0
152,9,14200.403371945724,2577.3557263583352,816.5237302758615,357.05758104509135,6529.426195612694,172469.83330781962,1.5015803158434038,0,1.0,0.0
153,10,11588.423797444755,4612.1189364031015,-22.676145845034625,368.9595004132611,7636.360235986246,180687.732451113,1.573128106865686,0,1.0,0.0
154,11,6828.374861870096,5037.59642090954,2924.715074284497,357.05758104509135,6592.662819271852,182679.26825929122,1.5904670867354027,0,1.0,0.0
155,12,1720.7165066194375,1635.294524577621,4343.811375497549,368.9595004132611,8844.838576295075,172477.6698382824,1.5016485433105597,0,1.0,0.0
156,1,9468.67228228908,5629.22663131333,2715.902301032038,368.9595004132611,7022.025619507409,177468.68133093207,1.545101966264446,0,1.0,0.0
157,2,8564.710096880144,4529.9262100418855,2467.329933475121,333.25374230875195,6161.181973363082,181601.55198870716,1.5810841267885178,0,1.0,0.0
158,3,5135.912818171648,6265.2468525088625,-8.809048039809568,368.9595004132611,8567.735958724987,184074.8252482892,1.6026172747661236,0,1.0,0.0
159,4,851.9038297247849,2910.721782021399,3013.24124712497,595.0959684084856,6107.689991657661,178121.4236528443,1.3543440790601868,0,1.0,0.0
160,5,9963.931538491535,4753.161101674865,2811.9828578352754,614.9325006887685,7020.384189405243,182391.21674508142,1.3868093989228552,0,1.0,0.0
161,6,8165.475345029007,2524.6610231668164,70.29239943431458,595.0959684084856,6938.838590435784,185477.12615499867,1.41027307360122,0,1.0,0.0
162,7,132.40923057182127,4849.451812757179,313.7515462395677,614.9325006887685,8063.878013094815,181466.4251383045,1.3797777571847791,0,1.0,0.0
163,8,276.89224106002985,4048.231956864678,7469.520732733217,614.9325006887685,10803.774893080707,166903.32120972654,1.2690473735289174,0,1.0,0.0
164,9,8652.520613244687,4786.1271475817775,2566.225818413048,357.05758104509135,6800.017853842284,170618.66771725257,1.4854634462503253,0,1.0,0.0
165,10,10991.390526428826,5690.861795862234,3504.1820368545305,368.9595004132611,6947.657365346418,176480.1211369294,1.5364952290752738,0,1.0,0.0
166,11,2258.9022179835897,7717.475557852391,285.5257693755848,357.05758104509135,8454.944479612488,177358.97108273223,1.544146791982755,0,1.0,0.0
167,12,3743.933941875261,4174.423154215445,1040.1123503806302,368.9595004132611,7157.4612443821,176710.79508364692,1.5385035539580998,0,1.0,0.0
168,1,7045.745449141723,5612.429379737267,3283.0470512506145,368.9595004132611,6930.550846987416,178786.41251387462,1.55657457667944,0,1.0,0.0
169,2,9600.6381766263,4768.307535322558,11469.56195346854,333.25374230875195,12579.997585219337,168772.54494482683,1.4693904811262901,0,1.0,0.0
170,3,4004.564026051478,1452.353078448621,5091.812895843148,368.9595004132611,11594.273347080129,157174.4163059904,1.3684132764135466,0,1.0,0.0
171,4,12386.69594532965,8021.235670119233,2703.723637025163,595.0959684084856,8611.007110007342,165672.5212059983,1.2596890006652162,0,1.0,0.0
172,5,8017.376545835085,3734.9648678064987,278.0033455331868,614.9325006887685,7887.283390540796,168644.6433828771,1.2822874955006522,0,1.0,0.0
173,6,4643.269623248034,2437.6438988593,4627.513076591858,595.0959684084856,9128.971682397949,161373.97617758616,1.2270050658054208,0,1.0,0.0
174,7,925.065099364641,6438.6905860313855,5144.593729746237,614.9325006887685,6852.60464561306,156125.60098693412,1.1870991088555172,0,1.0,0.0
175,8,3818.9688057721833,1306.3855511095317,3726.5255175756174,614.9325006887685,9908.582751392287,147000.91457415916,1.1177196666582205,0,1.0,0.0
176,9,6816.010093916772,3151.06673341649,3864.429043093958,357.05758104509135,7054.6086606151,145691.89611673827,1.2684425977054474,0,1.0,0.0
177,10,7041.755604761961,5229.8437389719475,1231.0400291842234,368.9595004132611,7801.724717624384,148561.7712132503,1.2934286945271474,0,1.0,0.0
178,11,2268.878046592041,4710.245627882716,6050.627714775677,357.05758104509135,7751.069046798463,141382.14054510582,1.2309204176908726,0,1.0,0.0
179,12,5166.055922698752,2105.8731191643456,-14.811819267750252,368.9595004132611,7045.763253401815,141254.15865242158,1.2298061643333242,0,1.0,0.0
180,1,966.9005091518798,5028.121443917655,2518.7983709212276,368.9595004132611,7195.4766037821255,137165.9461303745,1.1942128125433096,0,1.0,0.0
181,2,10487.149572411105,4078.5338227853645,2493.4842952635954,333.25374230875195,6277.347552728207,142627.54393527043,1.241763318040977,0,1.0,0.0
182,3,4658.755950205667,5374.356677752425,1766.004791159241,368.9595004132611,7994.798501268553,142530.89377038745,1.2409218492326188,0,1.0,0.0
183,4,7986.662396680357,2244.2138733293978,4263.565682384593,595.0959684084856,9533.861166820716,138369.24722278342,1.0520888888999147,0,1.0,0.0
184,5,2446.0609015372906,3700.74224196616,4740.782170158316,614.9325006887685,8198.893176246036,130961.44251919376,0.9957637359037514,0,1.0,0.0
185,6,622.1314408859596,4068.3277253032866,3272.3185930287436,595.0959684084856,6550.775453063233,125233.71167088252,0.952213004039068,0,1.0,0.0
