mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
2,34197.276605495485,1073.1311999736063,18.409164117532782,45619.834710743795,5687.109916378209,143867.60677635876,1.2525597217764857,1.0
3,100239.96455772764,7455.938097875478,0.5836629343684763,29752.066115702488,8962.86834569702,212847.99130762802,1.8531261257956548,1.0
4,543.8419813794762,5149.616309826437,15.392174157575937,83305.78512396694,7697.101189474084,127523.17111123537,0.9696208810574639,1.0
5,157639.60623769686,7211.868443063315,1024.1844358438975,6148.760330578512,8993.594880249273,276208.1061453239,2.100144976807643,1.0
6,9111.516966734356,6243.172577280027,1459.0944847255596,144793.38842975206,7165.208979966533,138145.10379489415,1.0503846170712001,1.0
7,2671.0419992066095,2631.485176738206,10464.250137243827,11900.826446280991,17230.20116406154,103852.35322325262,0.7896401050471468,1.0
8,15668.920829468598,283.53701900799933,790.2046155238204,6148.760330578512,6863.367416970658,106002.47870865621,0.805988558033174,1.0
9,4802.893186195076,3979.091568392818,902.6908887970203,3570.2479338842977,7171.8323424631535,103139.69229809963,0.897968814410341,1.0
10,50469.351854872955,3636.9633356907143,2104.235439124808,3689.2561983471073,6647.794963701001,144804.7208874904,1.2607185520831337,1.0
11,67094.63384524116,4062.6034805919626,1042.409537308733,31735.537190082654,6857.85195794943,176326.1595279827,1.5351547875791816,1.0
12,8139.694799392153,4860.467851586756,5346.4090998333995,61487.603305785095,6493.288561808639,115999.02121153448,1.0099264524565665,1.0
1,26840.576497272545,1327.148249028207,2760.2835754461994,1983.4710743801652,7798.847104555049,131624.14420345382,1.145964023012011,1.0
2,91603.43797405258,4407.963366319425,426.3385140300088,17851.23966942149,6808.81758622806,202549.1497741463,1.7634609511615147,1.0
3,62530.62522414771,2656.6077883967664,2861.190000460745,61487.603305785095,6305.087192049172,197082.50228839574,1.715866481445716,1.0
4,7891.7930701628975,4669.416355491179,-4.8082778349053115,71404.95867768595,7746.661964400129,130496.89934979864,0.9922315875633904,1.0
5,5361.10558034273,4633.813149625043,133.67496947287873,6148.760330578512,8334.109036958025,125875.27374275701,0.9570911134521516,1.0
6,5010.384476568405,1594.8565963093279,2377.2481296834158,5950.413223140496,7042.129336779858,117110.72412603098,0.8904499670049001,1.0
7,44195.47338674794,3991.841484370001,2159.608630341987,6148.760330578512,7013.20276325604,149976.46727297237,1.1403442454254746,1.0
8,106414.06924589742,1912.031026436278,2282.0369566776208,23801.652892561982,6603.997856842111,225614.87983922436,1.7154599957255043,1.0
9,43907.72227551633,5241.602819255728,5630.899799497274,61487.603305785095,6287.360349250663,201358.3414794634,1.7530933740557402,1.0
10,20669.432469088446,2724.2345624494774,14599.910253686365,61487.603305785095,17456.42591568464,131208.0690358452,1.1423415328083053,1.0
11,49604.25766256742,6420.111202037282,903.5676805928233,17851.23966942149,7977.868780844996,160499.7617695906,1.3973648512817693,1.0
